TimeStamp,ECR,FCR,ECU,FCU
311823.8797,-12143.99,-1831.1,-3516.53,-6492.71
311823.8807,-12181.57,-1865.67,-3553.68,-6527.85
311823.8817,-12262.44,-1946.02,-3631.5,-6604.62
311823.8827,-12378.03,-2079.2,-3736.11,-6712.63
311823.8837,-12506.72,-2227.26,-3855.47,-6837.18
311823.8847,-12633.42,-2370.64,-3971.15,-6960.35
311823.8857,-12747.48,-2501.11,-4077.58,-7075.5
311823.8867,-12845.99,-2607.87,-4166.75,-7168.39
311823.8877,-12921.0,-2684.07,-4234.51,-7229.9
311823.8887,-12938.31,-2708.82,-4249.1,-7244.64
311823.8897,-12918.76,-2694.37,-4231.02,-7230.76
311823.8907,-12888.29,-2656.65,-4203.27,-7196.62
311823.8917,-12813.05,-2572.25,-4131.89,-7120.94
311823.8927,-12704.61,-2444.89,-4030.9,-7009.7
311823.8937,-12576.34,-2300.02,-3913.07,-6883.57
311823.8947,-12446.07,-2156.64,-3792.67,-6759.02
311823.8957,-12339.78,-2036.52,-3693.53,-6657.51
311823.8967,-12252.71,-1935.24,-3610.56,-6576.49
311823.8977,-12177.52,-1853.51,-3540.85,-6509.88
311823.8987,-12153.96,-1827.67,-3519.49,-6489.33
311823.8997,-12171.46,-1842.21,-3533.46,-6501.96
311823.9007,-12212.37,-1879.26,-3571.7,-6542.21
311823.9017,-12291.91,-1964.38,-3645.04,-6618.45
311823.9027,-12402.92,-2085.11,-3739.93,-6725.55
311823.9037,-12526.85,-2222.97,-3850.89,-6846.38
311823.9047,-12647.01,-2370.17,-3975.01,-6960.35
311823.9057,-12759.16,-2500.87,-4084.35,-7061.77
311823.9067,-12856.44,-2605.49,-4173.95,-7157.71
311823.9077,-12927.87,-2682.07,-4237.7,-7234.76
311823.9087,-12952.76,-2715.54,-4262.73,-7258.65
311823.9097,-12945.22,-2710.39,-4253.77,-7243.06
311823.9107,-12904.65,-2662.37,-4218.72,-7201.62
311823.9117,-12811.61,-2560.47,-4139.28,-7115.36
311823.9127,-12690.55,-2435.88,-4032.8,-7006.17
311823.9137,-12562.04,-2295.97,-3912.78,-6887.06
311823.9147,-12434.2,-2160.98,-3790.38,-6767.51
311823.9157,-12324.67,-2041.53,-3686.43,-6667.71
311823.9167,-12230.83,-1937.87,-3593.83,-6578.06
311823.9177,-12156.54,-1853.61,-3523.54,-6509.35
311823.9187,-12133.79,-1824.57,-3499.22,-6488.71
311823.9197,-12144.38,-1837.78,-3504.18,-6497.86
311823.9207,-12178.23,-1876.31,-3537.13,-6529.67
311823.9217,-12258.96,-1967.24,-3624.39,-6608.82
311823.9227,-12380.22,-2095.27,-3741.22,-6724.41
311823.9237,-12516.12,-2241.23,-3862.72,-6854.39
311823.9247,-12637.95,-2377.65,-3974.72,-6966.69
311823.9257,-12746.86,-2492.05,-4077.1,-7066.2
311823.9267,-12841.27,-2588.7,-4161.64,-7153.65
311823.9277,-12911.85,-2666.28,-4224.3,-7226.28
311823.9287,-12938.98,-2699.95,-4248.52,-7261.56
311823.9297,-12929.87,-2693.7,-4240.47,-7252.41
311823.9307,-12896.25,-2655.46,-4210.28,-7216.5
311823.9317,-12823.2,-2566.62,-4146.67,-7139.02
311823.9327,-12711.38,-2446.51,-4044.82,-7023.76
311823.9337,-12576.92,-2310.09,-3921.7,-6886.96
311823.9347,-12439.87,-2166.7,-3796.1,-6747.91
311823.9357,-12324.19,-2045.97,-3688.05,-6638.48
311823.9367,-12243.22,-1949.98,-3613.81,-6568.24
311823.9377,-12182.43,-1875.88,-3559.54,-6512.74
311823.9387,-12164.55,-1854.13,-3540.75,-6497.91
311823.9397,-12180.71,-1871.25,-3552.72,-6517.46
311823.9407,-12207.89,-1903.15,-3575.85,-6548.36
311823.9417,-12275.32,-1975.11,-3635.36,-6615.88
