TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
312756.3617,-72.407,-18.056,-1003.816,1802.5,-2695.0,918.75,-1114.16,373.92,1814.88
312756.4117,-70.089,-14.152,-1006.378,1776.25,-2616.25,840.0,-1105.04,367.84,1828.56
312756.4617,-71.248,-15.982,-1005.524,1732.5,-2625.0,866.25,-1118.72,372.4,1842.24
312756.5117,-69.967,-15.372,-1006.439,1767.5,-2651.25,892.5,-1108.08,367.84,1831.6
312756.5617,-71.797,-15.433,-1007.476,1846.25,-2695.0,805.0,-1108.08,366.32,1846.8
312756.6117,-72.712,-16.165,-1006.134,1811.25,-2835.0,796.25,-1105.04,372.4,1828.56
312756.6617,-72.59,-15.86,-1006.256,1688.75,-2581.25,901.25,-1118.72,375.44,1814.88
312756.7117,-71.248,-15.982,-1003.633,1697.5,-2668.75,918.75,-1105.04,373.92,1834.64
312756.7617,-73.139,-15.921,-1008.94,1715.0,-2695.0,857.5,-1115.68,366.32,1825.52
312756.8117,-69.479,-15.921,-1007.049,1750.0,-2703.75,805.0,-1112.64,376.96,1817.92
312756.8617,-71.736,-14.396,-1005.341,1767.5,-2660.0,770.0,-1126.32,375.44,1840.72
312756.9117,-69.479,-15.189,-1002.108,1618.75,-2528.75,883.75,-1115.68,369.36,1839.2
312756.9617,-71.065,-15.372,-1002.962,1706.25,-2528.75,752.5,-1112.64,367.84,1827.04
312757.0117,-70.516,-14.03,-1003.816,1732.5,-2642.5,866.25,-1120.24,358.72,1830.08
312757.0617,-71.37,-15.25,-1006.622,1793.75,-2642.5,883.75,-1114.16,366.32,1840.72
312757.1117,-70.882,-15.189,-1007.598,1767.5,-2695.0,796.25,-1094.4,376.96,1833.12
312757.1617,-72.59,-15.921,-1006.439,1636.25,-2642.5,735.0,-1108.08,372.4,1834.64
312757.2117,-70.638,-15.067,-1006.012,1750.0,-2651.25,918.75,-1112.64,367.84,1828.56
312757.2617,-71.797,-15.494,-1004.731,1785.0,-2738.75,787.5,-1108.08,373.92,1827.04
312757.3117,-71.492,-14.396,-1005.951,1645.0,-2642.5,901.25,-1105.04,363.28,1836.16
312757.3617,-70.15,-16.226,-1006.073,1776.25,-2633.75,980.0,-1115.68,373.92,1836.16
312757.4117,-73.078,-15.372,-1003.572,1697.5,-2642.5,770.0,-1108.08,361.76,1819.44
312757.4617,-73.078,-14.396,-1005.036,1811.25,-2747.5,752.5,-1112.64,366.32,1854.4
312757.5117,-72.041,-15.433,-1005.951,1785.0,-2721.25,936.25,-1102.0,366.32,1837.68
312757.5617,-69.357,-18.239,-1004.67,1653.75,-2703.75,813.75,-1100.48,367.84,1828.56
312757.6117,-70.089,-16.897,-1007.171,1706.25,-2651.25,770.0,-1109.6,373.92,1842.24
312757.6617,-70.821,-14.396,-1005.768,1863.75,-2703.75,831.25,-1111.12,369.36,1825.52
312757.7117,-72.285,-14.701,-1005.524,1715.0,-2668.75,813.75,-1102.0,369.36,1831.6
312757.7617,-70.394,-13.664,-1005.768,1618.75,-2695.0,901.25,-1100.48,364.8,1845.28
312757.8117,-74.176,-15.555,-1004.365,1723.75,-2686.25,971.25,-1114.16,370.88,1819.44
312757.8617,-69.906,-15.372,-1002.962,1750.0,-2721.25,831.25,-1108.08,367.84,1816.4
312757.9117,-71.126,-15.677,-1004.121,1706.25,-2677.5,813.75,-1097.44,378.48,1837.68
312757.9617,-71.309,-15.25,-1005.341,1758.75,-2686.25,682.5,-1106.56,355.68,1839.2
312758.0117,-73.383,-15.433,-1004.426,1741.25,-2607.5,813.75,-1111.12,367.84,1834.64
312758.0617,-72.651,-15.006,-1008.696,1758.75,-2695.0,883.75,-1106.56,370.88,1819.44
312758.1117,-70.272,-14.274,-1006.256,1872.5,-2756.25,927.5,-1102.0,367.84,1837.68
312758.1617,-70.272,-15.311,-1007.964,1645.0,-2546.25,971.25,-1114.16,380.0,1851.36
312758.2117,-71.492,-15.006,-1007.232,1592.5,-2607.5,883.75,-1109.6,354.16,1830.08
312758.2617,-71.065,-15.677,-1005.097,1828.75,-2721.25,796.25,-1109.6,373.92,1845.28
312758.3117,-71.797,-16.043,-1006.866,1828.75,-2598.75,901.25,-1106.56,380.0,1827.04
312758.3617,-72.285,-15.25,-1006.134,1697.5,-2765.0,805.0,-1108.08,369.36,1836.16
312758.4117,-69.723,-15.86,-1005.463,1548.75,-2572.5,848.75,-1109.6,380.0,1842.24
312758.4617,-70.333,-14.457,-1006.439,1723.75,-2572.5,918.75,-1111.12,369.36,1833.12
312758.5117,-72.102,-16.531,-1006.622,1723.75,-2633.75,778.75,-1109.6,361.76,1820.96
312758.5617,-70.882,-16.287,-1004.548,1732.5,-2712.5,822.5,-1111.12,360.24,1831.6
312758.6117,-67.71,-14.823,-1004.243,1723.75,-2791.25,787.5,-1105.04,367.84,1845.28
312758.6617,-71.37,-14.823,-1006.5,1680.0,-2686.25,682.5,-1098.96,364.8,1824.0
312758.7117,-73.139,-13.786,-1003.999,1750.0,-2651.25,866.25,-1111.12,369.36,1816.4
312758.7617,-71.553,-16.836,-1003.328,1688.75,-2633.75,988.75,-1121.76,370.88,1831.6
312758.8117,-72.773,-14.091,-1007.842,1706.25,-2668.75,813.75,-1114.16,366.32,1824.0
312758.8617,-73.627,-15.311,-1006.5,1688.75,-2537.5,892.5,-1111.12,375.44,1817.92
312758.9117,-68.381,-14.762,-1002.596,1767.5,-2642.5,848.75,-1105.04,372.4,1825.52
312758.9617,-69.418,-16.592,-1007.598,1662.5,-2747.5,665.0,-1114.16,376.96,1842.24
312759.0117,-69.967,-13.847,-1005.402,1662.5,-2502.5,953.75,-1108.08,380.0,1845.28
312759.0617,-72.712,-14.518,-1005.097,1688.75,-2555.0,805.0,-1111.12,367.84,1828.56
312759.1117,-70.15,-14.03,-1005.585,1855.0,-2642.5,770.0,-1112.64,372.4,1817.92
312759.1617,-71.004,-16.287,-1003.633,1732.5,-2651.25,910.0,-1100.48,367.84,1836.16
312759.2117,-72.041,-13.115,-1004.731,1767.5,-2642.5,796.25,-1105.04,364.8,1828.56
312759.2617,-70.15,-15.921,-1002.779,1688.75,-2703.75,831.25,-1109.6,378.48,1834.64
312759.3117,-71.248,-14.823,-1004.731,1706.25,-2651.25,805.0,-1100.48,369.36,1819.44
312759.3617,-68.625,-17.202,-1005.646,1706.25,-2625.0,831.25,-1117.2,376.96,1825.52
312759.4117,-69.906,-14.579,-1005.036,1723.75,-2712.5,866.25,-1111.12,380.0,1845.28
312759.4617,-69.723,-16.836,-1002.84,1723.75,-2677.5,840.0,-1109.6,370.88,1819.44
312759.5117,-70.821,-15.372,-1008.513,1758.75,-2703.75,875.0,-1108.08,375.44,1839.2
312759.5617,-71.37,-16.104,-1006.988,1636.25,-2625.0,848.75,-1102.0,372.4,1819.44
312759.6117,-73.322,-15.921,-1005.524,1732.5,-2721.25,796.25,-1098.96,372.4,1833.12
312759.6617,-71.248,-14.64,-1004.487,1776.25,-2695.0,787.5,-1115.68,375.44,1834.64
312759.7117,-69.601,-15.982,-1004.609,1706.25,-2642.5,708.75,-1102.0,369.36,1831.6
312759.7617,-69.662,-14.64,-1005.341,1671.25,-2651.25,936.25,-1112.64,363.28,1831.6
312759.8117,-71.614,-16.836,-1005.28,1662.5,-2625.0,875.0,-1108.08,360.24,1848.32
312759.8617,-71.492,-13.603,-1004.548,1662.5,-2625.0,910.0,-1103.52,369.36,1819.44
312759.9117,-71.675,-17.263,-1006.927,1706.25,-2695.0,813.75,-1114.16,372.4,1833.12
312759.9617,-73.566,-14.64,-1005.463,1741.25,-2660.0,796.25,-1111.12,369.36,1834.64
312760.0117,-71.126,-17.08,-1005.219,1715.0,-2712.5,796.25,-1109.6,366.32,1845.28
312760.0617,-73.017,-14.396,-1007.232,1715.0,-2607.5,892.5,-1123.28,378.48,1830.08
312760.1117,-70.394,-15.677,-1007.72,1723.75,-2686.25,708.75,-1105.04,372.4,1827.04
312760.1617,-70.272,-15.738,-1005.646,1767.5,-2695.0,883.75,-1112.64,361.76,1846.8
312760.2117,-72.285,-14.64,-1005.951,1618.75,-2616.25,726.25,-1114.16,372.4,1834.64
312760.2617,-71.858,-15.25,-1007.964,1732.5,-2616.25,1041.25,-1105.04,369.36,1822.48
312760.3117,-71.248,-15.25,-1005.829,1723.75,-2660.0,857.5,-1115.68,376.96,1831.6
312760.3617,-72.712,-16.409,-1008.208,1653.75,-2642.5,778.75,-1102.0,370.88,1831.6
312760.4117,-70.455,-14.274,-1003.145,1741.25,-2651.25,848.75,-1121.76,370.88,1817.92
312760.4617,-71.797,-13.664,-1007.11,1741.25,-2660.0,883.75,-1115.68,367.84,1837.68
312760.5117,-71.614,-14.762,-1008.025,1662.5,-2625.0,927.5,-1121.76,370.88,1819.44
312760.5617,-73.078,-15.86,-1005.89,1767.5,-2651.25,857.5,-1108.08,367.84,1836.16
312760.6117,-73.871,-14.091,-1005.158,1820.0,-2721.25,770.0,-1108.08,363.28,1824.0
312760.6617,-73.322,-15.189,-1008.086,1645.0,-2686.25,796.25,-1100.48,363.28,1830.08
312760.7117,-72.041,-15.799,-1006.5,1793.75,-2730.0,778.75,-1115.68,369.36,1825.52
312760.7617,-69.784,-14.823,-1004.304,1723.75,-2668.75,787.5,-1121.76,364.8,1825.52
312760.8117,-70.394,-16.836,-1005.646,1653.75,-2695.0,848.75,-1103.52,363.28,1837.68
312760.8617,-72.895,-15.738,-1006.683,1741.25,-2660.0,1006.25,-1100.48,366.32,1837.68
312760.9117,-71.614,-13.908,-1005.524,1785.0,-2730.0,962.5,-1115.68,381.52,1840.72
312760.9617,-71.736,-15.494,-1005.89,1802.5,-2590.0,892.5,-1108.08,370.88,1839.2
312761.0117,-71.37,-16.592,-1004.426,1767.5,-2677.5,866.25,-1112.64,360.24,1833.12
312761.0617,-71.37,-15.799,-1005.219,1706.25,-2730.0,805.0,-1115.68,354.16,1848.32
312761.1117,-68.869,-15.738,-1008.025,1828.75,-2642.5,1015.0,-1117.2,360.24,1825.52
312761.1617,-70.821,-15.738,-1006.439,1741.25,-2660.0,918.75,-1111.12,363.28,1837.68
312761.2117,-71.004,-13.725,-1007.232,1723.75,-2738.75,971.25,-1111.12,375.44,1827.04
312761.2617,-72.834,-14.518,-1008.025,1776.25,-2633.75,918.75,-1112.64,361.76,1827.04
312761.3117,-70.272,-16.409,-1005.341,1688.75,-2528.75,796.25,-1106.56,369.36,1831.6
312761.3617,-73.81,-14.03,-1004.609,1662.5,-2563.75,892.5,-1109.6,370.88,1824.0
312761.4117,-71.675,-15.494,-1007.11,1741.25,-2747.5,770.0,-1106.56,364.8,1840.72
312761.4617,-70.638,-15.616,-1005.402,1715.0,-2782.5,962.5,-1103.52,361.76,1840.72
312761.5117,-70.455,-15.006,-1006.012,1767.5,-2703.75,822.5,-1118.72,370.88,1814.88
312761.5617,-70.638,-15.799,-1007.903,1723.75,-2625.0,778.75,-1114.16,367.84,1833.12
312761.6117,-70.089,-11.834,-1004.975,1671.25,-2607.5,770.0,-1112.64,373.92,1846.8
312761.6617,-69.784,-15.433,-1007.293,1653.75,-2686.25,840.0,-1111.12,363.28,1822.48
312761.7117,-73.505,-15.616,-1006.805,1653.75,-2660.0,796.25,-1114.16,372.4,1822.48
312761.7617,-71.797,-14.213,-1005.524,1758.75,-2563.75,866.25,-1108.08,375.44,1820.96
312761.8117,-72.529,-15.616,-1005.28,1715.0,-2695.0,665.0,-1120.24,375.44,1827.04
312761.8617,-71.065,-14.701,-1004.548,1688.75,-2686.25,883.75,-1117.2,364.8,1839.2
312761.9117,-70.76,-14.823,-1005.951,1592.5,-2625.0,980.0,-1109.6,358.72,1836.16
312761.9617,-70.455,-15.799,-1004.243,1732.5,-2712.5,875.0,-1103.52,372.4,1848.32
312762.0117,-69.845,-16.287,-1004.243,1671.25,-2642.5,918.75,-1111.12,364.8,1833.12
312762.0617,-71.675,-15.128,-1007.537,1758.75,-2703.75,918.75,-1117.2,363.28,1827.04
312762.1117,-69.296,-17.446,-1004.304,1758.75,-2563.75,980.0,-1121.76,361.76,1833.12
312762.1617,-71.553,-15.555,-1005.402,1776.25,-2703.75,918.75,-1112.64,372.4,1836.16
