TimeStamp,ECR,FCR,ECU,FCU
312415.7197,-10783.96,-371.5,-1579.67,-4242.33
312415.7207,-10858.97,-446.51,-1645.76,-4305.36
312415.7217,-10984.95,-576.45,-1776.65,-4424.05
312415.7227,-11151.12,-742.2,-1945.54,-4576.49
312415.7237,-11321.5,-909.61,-2122.59,-4736.14
312415.7247,-11459.54,-1043.32,-2263.98,-4861.55
312415.7257,-11563.16,-1144.74,-2374.08,-4958.11
312415.7267,-11660.34,-1242.73,-2480.51,-5050.14
312415.7277,-11722.8,-1304.91,-2550.22,-5113.7
312415.7287,-11747.65,-1319.84,-2571.06,-5131.96
312415.7297,-11726.05,-1284.93,-2537.49,-5103.49
312415.7307,-11624.58,-1184.13,-2430.3,-5008.65
312415.7317,-11504.17,-1066.78,-2314.0,-4898.5
312415.7327,-11372.76,-943.76,-2192.69,-4783.82
312415.7337,-11233.66,-807.19,-2064.66,-4661.66
312415.7347,-11091.95,-668.76,-1918.55,-4537.44
312415.7357,-10958.01,-541.64,-1774.36,-4421.57
312415.7367,-10845.61,-435.11,-1666.07,-4324.34
312415.7377,-10792.78,-383.66,-1624.58,-4276.13
312415.7387,-10770.94,-366.31,-1608.94,-4259.97
312415.7397,-10782.91,-388.0,-1622.3,-4277.37
312415.7407,-10868.26,-473.55,-1725.15,-4350.95
312415.7417,-10998.11,-596.0,-1874.54,-4459.81
312415.7427,-11128.67,-719.88,-1997.66,-4572.06
312415.7437,-11276.39,-857.88,-2107.33,-4698.32
312415.7447,-11433.79,-1002.26,-2251.82,-4831.03
312415.7457,-11584.86,-1143.41,-2392.96,-4963.3
312415.7467,-11715.65,-1255.56,-2501.34,-5075.12
312415.7477,-11789.9,-1323.41,-2574.16,-5137.11
312415.7487,-11813.4,-1350.36,-2611.83,-5158.38
312415.7497,-11787.51,-1321.89,-2592.9,-5132.77
312415.7507,-11687.71,-1224.37,-2487.04,-5043.08
312415.7517,-11563.45,-1102.88,-2360.53,-4931.26
312415.7527,-11415.96,-964.74,-2222.49,-4803.52
312415.7537,-11237.24,-802.47,-2053.5,-4655.31
312415.7547,-11072.97,-651.17,-1887.89,-4511.4
312415.7557,-10937.88,-517.61,-1746.99,-4388.43
312415.7567,-10818.48,-397.49,-1632.98,-4283.05
312415.7577,-10755.78,-333.88,-1585.34,-4231.17
312415.7587,-10750.58,-327.44,-1566.74,-4225.73
312415.7597,-10783.2,-361.59,-1582.72,-4250.91
312415.7607,-10873.61,-453.0,-1674.18,-4330.35
312415.7617,-11001.54,-577.88,-1802.49,-4447.32
312415.7627,-11148.02,-724.98,-1945.64,-4580.55
312415.7637,-11302.23,-877.57,-2104.85,-4720.97
312415.7647,-11464.41,-1030.16,-2261.64,-4867.08
312415.7657,-11617.85,-1167.92,-2410.6,-5001.16
